school_id,school_name,district,software_name,license_type,licenses_purchased,licenses_assigned,licenses_used,last_used_date,renewal_date,annual_cost,grade_band,0
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,564,479,459,2024-01-06,2024-04-03,12408,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,746,504,327,2024-08-10,2024-11-28,14174,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,589,481,435,2024-04-01,2025-01-15,4712,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,1089,964,583,2024-03-19,2024-10-26,10890,High,
SCH005,Riverside High,Durham County,PowerSchool,Site License,51,49,34,2024-09-07,2024-10-16,408,High,
SCH003,Cedar Grove High,Wake County,iReady,Per Student,540,338,230,2024-10-17,2024-12-26,3780,High,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,1140,1076,666,2024-03-06,2024-12-04,25080,Elementary,
SCH002,Pine Valley High,Wake County,iReady,Per Student,1130,1124,995,2024-04-18,2025-02-18,12430,Middle,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,1425,1237,1066,2024-09-21,2025-06-09,11400,High,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,181,151,77,2024-10-28,2025-09-06,2172,Middle,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,64,40,40,2024-01-31,2024-06-26,448,High,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,195,182,121,2024-05-22,2025-02-24,2145,Elementary,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,1219,1026,997,2024-05-04,2025-01-31,21942,High,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,248,232,171,2024-06-30,2025-03-03,4464,Middle,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,160,108,57,2024-07-25,2025-02-13,1280,Elementary,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,439,400,314,2024-03-12,2024-11-13,4390,Middle,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,561,559,317,2024-08-14,2025-06-21,4488,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1157,1122,576,2024-02-17,2024-07-17,11570,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,1035,730,570,2024-01-31,2024-05-24,17595,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Canvas,Site License,593,592,528,2024-05-26,2025-01-27,13046,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Microsoft 365,Per User,438,337,223,2024-01-30,2024-12-21,9636,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,692,444,234,2024-10-26,2025-07-27,14532,Elementary,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,166,164,92,2024-04-05,2024-06-09,3984,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,531,421,240,2024-10-18,2025-03-23,12213,Elementary,
SCH005,Riverside High,Durham County,Google Workspace,Per User,1318,873,650,2024-12-02,2025-10-26,30314,High,
SCH005,Riverside High,Durham County,iReady,Per Student,584,402,372,2024-06-09,2024-11-08,7592,High,
SCH004,Maple Leaf Elementary,Durham County,Microsoft 365,Per User,1425,1162,1049,2024-06-10,2024-08-16,7125,Elementary,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,1203,772,423,2024-10-02,2025-02-18,25263,Elementary,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,764,493,471,2024-05-05,2024-12-10,10696,High,
SCH002,Pine Valley High,Wake County,Canvas,Site License,1162,1057,837,2024-11-09,2025-11-08,24402,Middle,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1185,864,771,2024-02-23,2024-05-31,15405,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,1183,788,533,2024-05-24,2025-04-28,13013,Elementary,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,1457,1144,1089,2024-09-07,2025-02-12,8742,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,917,691,367,2024-01-02,2024-07-20,8253,Elementary,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,954,854,788,2024-08-06,2025-06-19,4770,High,
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,1465,1031,551,2024-07-08,2025-06-01,32230,Elementary,
SCH002,Pine Valley High,Wake County,Canvas,Site License,311,191,134,2024-07-05,2024-08-24,4976,Middle,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,561,506,279,2024-06-30,2025-05-12,10098,Middle,
SCH005,Riverside High,Durham County,Zoom,Per Host,366,279,180,2024-03-31,2024-11-27,1830,High,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,730,648,451,2024-05-16,2024-09-04,5840,Middle,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,1013,720,462,2024-08-23,2025-03-20,14182,Elementary,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,98,70,60,2024-06-17,2024-12-06,686,Middle,
SCH003,Cedar Grove High,Wake County,iReady,Per Student,1363,1338,1078,2024-12-13,2025-10-13,20445,High,
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,584,395,345,2024-05-15,2024-07-03,4672,Elementary,
SCH005,Riverside High,Durham County,Canvas,Site License,757,614,530,2024-11-06,2025-08-24,6056,High,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,439,328,175,2024-12-28,2025-09-07,2195,Elementary,
SCH005,Riverside High,Durham County,PowerSchool,Site License,1456,1074,909,2024-08-08,2024-10-12,21840,High,
SCH005,Riverside High,Durham County,iReady,Per Student,1408,971,853,2024-06-02,2025-03-18,19712,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,874,675,620,2024-03-06,2024-07-12,15732,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,406,400,345,2024-06-03,2025-01-26,8932,Elementary,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,637,489,354,2024-10-23,2025-09-28,15925,Elementary,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,954,798,744,2024-04-19,2025-02-04,19080,High,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,223,169,149,2024-12-05,2025-11-24,5352,Middle,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,531,490,324,2024-04-25,2024-09-03,4779,High,
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,551,451,381,2024-02-07,2024-10-27,9918,Elementary,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,1476,1278,1145,2024-07-23,2024-12-24,13284,High,
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,920,664,422,2024-12-22,2025-10-13,17480,Elementary,
SCH001,Oak Ridge Elementary,Wake County,PowerSchool,Site License,560,553,338,2024-08-21,2024-11-27,10640,Elementary,
SCH005,Riverside High,Durham County,PowerSchool,Site License,1269,923,847,2024-08-14,2025-07-23,26649,High,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,963,658,572,2024-08-18,2025-01-27,11556,Elementary,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,1042,945,594,2024-05-20,2025-01-30,7294,High,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,606,448,305,2024-10-03,2024-12-13,5454,High,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,834,578,398,2024-02-02,2024-10-01,15012,Middle,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,1004,814,438,2024-04-15,2024-12-16,17068,High,
SCH005,Riverside High,Durham County,Zoom,Per Host,90,90,69,2024-09-01,2024-10-04,1440,High,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,908,819,791,2024-10-06,2025-09-09,10896,High,
SCH004,Maple Leaf Elementary,Durham County,Microsoft 365,Per User,608,475,361,2024-01-15,2024-08-31,9120,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,388,351,207,2024-11-14,2025-09-13,1940,Elementary,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,1205,1062,558,2024-02-12,2025-02-05,21690,Elementary,
SCH002,Pine Valley High,Wake County,Canvas,Site License,422,265,198,2024-07-13,2025-01-26,4642,Middle,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,741,638,461,2024-08-03,2025-01-09,5187,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,1154,718,538,2024-04-24,2025-04-21,8078,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Google Workspace,Per User,556,384,197,2024-11-14,2025-03-02,6672,Elementary,
SCH002,Pine Valley High,Wake County,Canvas,Site License,1421,969,772,2024-04-21,2025-01-14,18473,Middle,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,1290,891,843,2024-03-24,2024-09-29,10320,High,
SCH005,Riverside High,Durham County,Google Workspace,Per User,688,604,505,2024-04-11,2024-06-18,15824,High,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,1477,1194,720,2024-10-16,2024-12-06,23632,Middle,
SCH005,Riverside High,Durham County,Canvas,Site License,1404,1221,680,2024-09-16,2025-0High,21060,High,
SCH001,Oak Ridge Elementary,Wake County,Canvas,Site License,1053,685,563,2024-07-04,2025-06-24,20007,Elementary,
SCH002,Pine Valley High,Wake County,Canvas,Site License,410,379,355,2024-05-18,2025-04-28,9020,Middle,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,942,939,772,2024-05-17,2024-11-28,11304,Elementary,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,973,707,590,2024-10-18,2025-09-25,16541,Elementary,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,1062,803,494,2024-09-06,2025-01-22,16992,High,
SCH003,Cedar Grove High,Wake County,iReady,Per Student,622,598,440,2024-10-11,2024-11-15,13062,High,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,544,510,463,2024-09-07,2025-07-18,6528,Middle,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,1055,862,836,2024-01-09,2024-03-26,14770,Elementary,
SCH002,Pine Valley High,Wake County,Canvas,Site License,1466,1128,877,2024-12-05,2025-10-28,23456,Middle,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,1137,858,646,2024-10-08,2025-04-25,18192,Elementary,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,677,534,385,2024-03-02,2024-07-08,10155,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1147,1078,728,2024-04-08,2024-08-26,22940,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,1257,1254,1164,2024-11-01,2025-04-24,10056,High,
SCH002,Pine Valley High,Wake County,iReady,Per Student,515,401,245,2024-06-03,2024-07-10,11330,Middle,
SCH002,Pine Valley High,Wake County,iReady,Per Student,143,88,79,2024-05-29,2024-08-31,3575,Middle,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,75,63,49,2024-08-28,2025-05-30,1425,Elementary,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,155,109,109,2024-09-01,2024-11-28,1085,High,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,201,193,176,2024-12-17,2025-02-12,1809,Elementary,
SCH002,Pine Valley High,Wake County,PowerSchool,Site License,672,446,286,2024-03-01,2025-01-10,12096,Middle,
SCH005,Riverside High,Durham County,PowerSchool,Site License,1316,1020,907,2024-09-24,2025-05-06,25004,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,1255,972,642,2024-10-18,2025-09-30,7530,Elementary,
SCH005,Riverside High,Durham County,Zoom,Per Host,253,248,150,2024-11-16,2025-04-03,3289,High,
SCH001,Oak Ridge Elementary,Wake County,Microsoft 365,Per User,541,368,325,2024-02-08,2024-05-28,2705,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,1461,1357,976,2024-01-17,2024-06-13,20454,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,979,623,430,2024-05-15,2025-04-30,22517,High,
SCH002,Pine Valley High,Wake County,Canvas,Site License,285,240,148,2024-11-27,2025-03-13,3705,Middle,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,172,124,112,2024-06-06,2025-05-06,3956,Middle,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,304,241,208,2024-06-04,2025-01-26,3952,High,
SCH005,Riverside High,Durham County,PowerSchool,Site License,1061,860,471,2024-11-02,2024-12-22,19098,High,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,562,343,194,2024-04-27,2025-03-17,12926,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,601,507,263,2024-03-30,2024-12-25,12621,Elementary,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,421,401,311,2024-11-21,2025-08-29,2947,Elementary,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,886,701,514,2024-12-09,2025-03-02,8860,Elementary,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,1470,1389,989,2024-12-05,2025-07-28,32340,High,
SCH001,Oak Ridge Elementary,Wake County,Canvas,Site License,230,178,121,2024-06-14,2024-09-11,3910,Elementary,
SCH005,Riverside High,Durham County,Google Workspace,Per User,1396,1392,1169,2024-07-30,2024-09-25,15356,High,
SCH005,Riverside High,Durham County,iReady,Per Student,1325,1305,1292,2024-08-14,2024-10-09,14575,High,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,318,263,243,2024-12-23,2025-09-27,2544,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1296,1022,673,2024-06-08,2025-04-16,6480,Elementary,
SCH005,Riverside High,Durham County,Canvas,Site License,240,172,100,2024-08-24,2024-11-22,6000,High,
SCH002,Pine Valley High,Wake County,Canvas,Site License,647,527,475,2024-09-04,2025-06-02,7764,Middle,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,346,305,200,2024-11-02,2025-08-19,3114,Elementary,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,899,713,615,2024-05-16,2024-06-16,12586,Elementary,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,1237,1079,1040,2024-03-17,2024-11-30,27214,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,730,720,638,2024-07-12,2025-04-01,10950,Elementary,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,539,469,332,2024-04-29,2024-12-25,3234,Middle,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,1018,971,952,2024-07-14,2025-02-26,25450,High,
SCH002,Pine Valley High,Wake County,Canvas,Site License,125,83,73,2024-10-29,2025-05-16,1000,Middle,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,1127,909,461,2024-03-14,2024-11-08,28175,Elementary,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,1011,1006,999,2024-05-15,2024-12-04,24264,Middle,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,214,170,153,2024-07-13,2025-01-21,5350,Elementary,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,123,112,60,2024-04-30,2025-04-18,1722,Elementary,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,235,196,110,2024-11-20,2025-02-09,4465,Middle,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,663,411,216,2024-06-15,2024-08-12,9282,Middle,
SCH003,Cedar Grove High,Wake County,iReady,Per Student,932,633,441,2024-09-28,2025-05-26,21436,High,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,408,264,229,2024-11-13,2025-04-15,8160,Middle,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,525,433,379,2024-05-10,2025-01-30,6825,High,
SCH001,Oak Ridge Elementary,Wake County,Canvas,Site License,639,463,249,2024-08-14,2025-03-08,14697,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,918,903,579,2024-08-21,2025-02-21,10098,High,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,268,190,143,2024-10-19,2025-05-20,6164,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,654,403,369,2024-07-21,2025-01-07,3270,High,
SCH005,Riverside High,Durham County,Zoom,Per Host,150,148,137,2024-05-26,2024-10-20,3600,High,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,1353,1005,819,2024-05-08,2024-08-16,33825,High,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1373,863,589,2024-08-13,2024-09-29,31579,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,319,214,144,2024-06-16,2025-02-13,3190,High,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,1154,1140,944,2024-09-28,2025-07-11,15002,Middle,
SCH002,Pine Valley High,Wake County,iReady,Per Student,1036,1033,818,2024-06-22,2024-09-18,19684,Middle,
SCH001,Oak Ridge Elementary,Wake County,Microsoft 365,Per User,512,480,425,2024-12-11,2025-08-01,11264,Elementary,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,858,521,395,2024-10-01,2025-01-02,16302,High,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,1426,1123,951,2024-11-22,2025-06-30,11408,High,
SCH002,Pine Valley High,Wake County,Canvas,Site License,101,99,84,2024-06-16,2025-05-24,1212,Middle,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1000,958,633,2024-11-28,2025-07-25,8000,Elementary,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,126,94,78,2024-02-29,2024-05-18,1512,Middle,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,845,739,558,2024-12-09,2025-10-11,15210,High,
SCH005,Riverside High,Durham County,Zoom,Per Host,366,325,187,2024-09-07,2025-08-18,6588,High,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,1463,1256,850,2024-08-15,2025-04-29,17556,High,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,1454,1248,1181,2024-11-26,2025-06-27,8724,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,438,293,262,2024-02-16,2024-07-03,10950,Elementary,
SCH005,Riverside High,Durham County,Google Workspace,Per User,153,141,112,2024-05-04,2024-08-06,3519,High,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,1185,817,708,2024-04-20,2024-09-16,17775,Middle,
SCH002,Pine Valley High,Wake County,PowerSchool,Site License,55,41,24,2024-03-07,2025-01-07,715,Middle,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,1403,867,500,2024-01-08,2024-08-08,16836,Middle,
SCH005,Riverside High,Durham County,iReady,Per Student,82,60,38,2024-01-27,2024-04-30,1476,High,
SCH005,Riverside High,Durham County,Google Workspace,Per User,180,168,141,2024-07-04,2025-04-22,4140,High,
SCH001,Oak Ridge Elementary,Wake County,Canvas,Site License,1081,761,694,2024-01-23,2024-11-14,15134,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,113,70,65,2024-07-24,2025-03-29,904,Elementary,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,958,611,346,2024-06-13,2025-05-20,8622,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Microsoft 365,Per User,613,526,429,2024-07-14,2025-06-14,12873,Elementary,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,1085,960,700,2024-02-20,2024-05-18,27125,High,
SCH005,Riverside High,Durham County,Zoom,Per Host,490,404,317,2024-04-26,2024-12-23,7350,High,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,901,588,454,2024-08-06,2025-02-12,11713,Elementary,
SCH003,Cedar Grove High,Wake County,Microsoft 365,Per User,1456,1358,747,2024-02-16,2024-04-29,10192,High,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,813,553,306,2024-10-27,2025-09-09,17886,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,300,232,161,2024-12-06,2025-08-09,1800,High,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,689,593,349,2024-10-22,2025-08-07,7579,High,
SCH002,Pine Valley High,Wake County,Zoom,Per Host,1037,736,423,2024-06-28,2025-05-08,16592,Middle,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,1225,850,838,2024-08-07,2025-06-20,29400,Elementary,
SCH005,Riverside High,Durham County,Zoom,Per Host,1366,845,733,2024-12-02,2025-05-17,6830,High,
SCH002,Pine Valley High,Wake County,iReady,Per Student,1489,1209,951,2024-06-28,2024-07-31,14890,Middle,
SCH002,Pine Valley High,Wake County,PowerSchool,Site License,1396,1247,694,2024-03-13,2025-03-02,6980,Middle,
SCH001,Oak Ridge Elementary,Wake County,Zoom,Per Host,1136,791,587,2024-08-02,2025-04-21,17040,Elementary,
SCH002,Pine Valley High,Wake County,iReady,Per Student,688,578,332,2024-01-27,2024-05-15,6880,Middle,
SCH005,Riverside High,Durham County,Google Workspace,Per User,1430,941,609,2024-08-14,2025-04-18,28600,High,
SCH005,Riverside High,Durham County,Canvas,Site License,898,677,448,2024-09-19,2024-12-16,14368,High,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,630,551,524,2024-09-26,2025-04-01,3780,Elementary,
SCH002,Pine Valley High,Wake County,Canvas,Site License,1277,822,414,2024-04-14,2024-10-15,14047,Middle,
SCH002,Pine Valley High,Wake County,iReady,Per Student,642,552,337,2024-01-04,2024-10-14,11556,Middle,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,828,768,744,2024-04-27,2025-02-07,18216,Middle,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,863,538,492,2024-01-10,2024-10-01,6041,High,
SCH003,Cedar Grove High,Wake County,PowerSchool,Site License,929,850,632,2024-12-29,2025-12-21,16722,High,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,879,537,434,2024-03-28,2025-03-09,16701,High,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,944,620,434,2024-08-11,2025-07-08,16048,High,
SCH005,Riverside High,Durham County,Google Workspace,Per User,860,674,510,2024-04-23,2024-11-09,8600,High,
SCH001,Oak Ridge Elementary,Wake County,PowerSchool,Site License,1346,923,732,2024-09-18,2025-01-25,21536,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,1371,973,606,2024-02-22,2024-06-05,17823,High,
SCH002,Pine Valley High,Wake County,Microsoft 365,Per User,1283,925,851,2024-12-01,2025-02-07,12830,Middle,
SCH004,Maple Leaf Elementary,Durham County,Canvas,Site License,1204,1111,1014,2024-12-14,2025-10-29,30100,Elementary,
SCH005,Riverside High,Durham County,iReady,Per Student,1334,1123,715,2024-08-13,2024-10-16,26680,High,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,670,542,299,2024-06-29,2025-04-14,4690,Elementary,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,975,604,331,2024-07-07,2024-12-30,6825,High,
SCH001,Oak Ridge Elementary,Wake County,PowerSchool,Site License,1266,1018,705,2024-08-24,2025-07-17,27852,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Canvas,Site License,1220,1065,724,2024-06-13,2025-05-18,24400,Elementary,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,176,162,94,2024-06-24,2024-09-05,3696,High,
SCH002,Pine Valley High,Wake County,Google Workspace,Per User,557,515,481,2024-08-12,2025-06-06,11697,Middle,
SCH005,Riverside High,Durham County,Microsoft 365,Per User,795,667,477,2024-07-17,2025-03-13,11925,High,
SCH005,Riverside High,Durham County,Google Workspace,Per User,1342,1147,640,2024-06-17,2024-09-03,29524,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,566,524,338,2024-06-19,2024-08-29,13018,Elementary,
SCH002,Pine Valley High,Wake County,iReady,Per Student,685,611,371,2024-10-31,2025-01-12,9590,Middle,
SCH005,Riverside High,Durham County,Canvas,Site License,1367,1156,708,2024-12-09,2025-10-04,9569,High,
SCH004,Maple Leaf Elementary,Durham County,PowerSchool,Site License,791,483,333,2024-06-07,2024-10-07,8701,Elementary,
SCH003,Cedar Grove High,Wake County,Canvas,Site License,443,322,196,2024-03-20,2024-05-28,6202,High,
SCH001,Oak Ridge Elementary,Wake County,PowerSchool,Site License,1155,1120,1099,2024-01-20,2024-08-09,27720,Elementary,
SCH002,Pine Valley High,Wake County,PowerSchool,Site License,821,570,368,2024-04-02,2025-03-17,8210,Middle,
SCH004,Maple Leaf Elementary,Durham County,Google Workspace,Per User,891,720,706,2024-05-01,2025-01-13,21384,Elementary,
SCH003,Cedar Grove High,Wake County,Zoom,Per Host,969,700,623,2024-05-02,2024-11-06,19380,High,
SCH002,Pine Valley High,Wake County,iReady,Per Student,1439,1314,1129,2024-05-24,2025-01-04,30219,Middle,
SCH005,Riverside High,Durham County,Canvas,Site License,381,279,174,2024-05-08,2024-07-03,9525,High,
SCH004,Maple Leaf Elementary,Durham County,iReady,Per Student,1185,763,745,2024-09-21,2024-12-23,16590,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Microsoft 365,Per User,608,479,470,2024-09-19,2025-01-02,10944,Elementary,
SCH001,Oak Ridge Elementary,Wake County,Microsoft 365,Per User,973,761,393,2024-07-31,2024-09-26,16541,Elementary,
SCH005,Riverside High,Durham County,iReady,Per Student,532,417,228,2024-07-10,2024-12-01,2660,High,
SCH003,Cedar Grove High,Wake County,Google Workspace,Per User,1381,1171,734,2024-03-11,2024-04-29,19334,High,
SCH004,Maple Leaf Elementary,Durham County,Zoom,Per Host,334,320,274,2024-11-11,2024-12-13,2338,Elementary,
SCH001,Oak Ridge Elementary,Wake County,iReady,Per Student,491,332,306,2024-11-07,2025-09-03,8838,Elementary,
